step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,tl_1_stopped,tl_1_accumulated_waiting_time,tl_1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
265.0,2,14.0,0.7368421052631579,6.918670555093001,2,43.0,0.24842691418338736,2,43.0
270.0,6,34.0,2.2666666666666666,5.001262240581192,6,44.0,0.002936868502743985,6,44.0
275.0,8,73.0,4.055555555555555,5.2894637204391595,8,83.0,0.08801947290140846,8,83.0
280.0,8,113.0,8.071428571428571,6.627161813453618,8,123.0,0.23498787279969258,8,123.0
285.0,3,3.0,0.21428571428571427,2.3700994924444294,3,64.0,0.06836759237234494,3,64.0
290.0,2,4.0,0.2,4.125702955554245,0,2.0,0.11907447699597548,0,2.0
295.0,7,23.0,0.8846153846153846,7.6500549468938095,4,8.0,0.3442057054338334,4,8.0
300.0,4,31.0,1.4090909090909092,8.673593760686218,1,9.0,0.6367966733444397,1,9.0
305.0,1,1.0,0.05,5.645940687935267,1,12.0,0.3035832302390228,1,12.0
310.0,8,18.0,0.75,3.7480566772058395,8,33.0,0.12782671066428777,8,33.0
315.0,9,54.0,2.4545454545454546,5.692227854057537,6,59.0,0.24813305132980065,6,59.0
320.0,9,86.0,4.526315789473684,2.093133954356611,8,94.0,0.07678788191117725,8,94.0
325.0,17,130.0,5.909090909090909,1.6968173032516807,17,147.0,0.002578204425861656,17,147.0
330.0,6,44.0,1.8333333333333333,5.202504827037003,6,108.0,0.10306602779082906,6,108.0
