step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,tl_1_stopped,tl_1_accumulated_waiting_time,tl_1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
730.0,89,1017.0,5.352631578947369,2.9085688467691884,87,16015.0,0.10646480083522389,87,16015.0
735.0,97,1135.0,5.973684210526316,2.8950648864511956,95,16174.0,0.10501746412221812,95,16174.0
740.0,100,1271.0,6.551546391752577,3.1741531687711553,98,16314.0,0.1100559061411561,98,16314.0
745.0,99,1424.0,7.574468085106383,3.0296708181095764,97,16534.0,0.10217103407304429,97,16534.0
750.0,101,1649.0,8.913513513513514,3.0439728924366403,99,16824.0,0.1100188794289272,99,16824.0
755.0,97,1889.0,10.43646408839779,3.2768686924000163,95,17110.0,0.11816429886899876,95,17110.0
760.0,90,2013.0,11.245810055865922,3.050570790823825,90,17566.0,0.12859102673220862,90,17566.0
765.0,84,1770.0,10.23121387283237,3.0196057859625,84,17366.0,0.15265962973328406,84,17366.0
770.0,85,1443.0,8.152542372881356,3.2098159139224025,83,17583.0,0.16066744738826583,83,17583.0
775.0,98,1773.0,10.016949152542374,2.80629221147272,96,17850.0,0.13336125208324665,96,17850.0
780.0,113,2222.0,12.48314606741573,2.32053840205666,113,18132.0,0.10002226964539569,113,18132.0
785.0,115,2297.0,12.551912568306012,2.136222340236159,115,17782.0,0.08188541116799963,115,17782.0
790.0,104,2063.0,11.273224043715848,2.323051458824931,103,16801.0,0.08711611845414623,103,16801.0
795.0,102,1983.0,10.436842105263159,2.450040509400843,100,17002.0,0.0790022218856333,100,17002.0
800.0,106,1955.0,10.025641025641026,2.407166922569151,106,17517.0,0.08789532247614308,106,17517.0
805.0,105,1688.0,8.656410256410256,2.30341002738004,105,17449.0,0.09021467616043367,105,17449.0
810.0,101,1310.0,6.752577319587629,2.262786830219522,99,17824.0,0.08962529495585966,99,17824.0
815.0,101,1220.0,6.421052631578948,2.140404071045042,99,18237.0,0.08856403685137514,99,18237.0
820.0,109,1275.0,6.854838709677419,1.7877508232670378,109,18737.0,0.07112892756503349,109,18737.0
825.0,97,1122.0,6.0978260869565215,1.8387939607166677,97,18326.0,0.06661567687725209,97,18326.0
830.0,86,936.0,5.032258064516129,2.43427544284938,85,17302.0,0.08787418159863444,85,17302.0
835.0,89,996.0,5.242105263157895,2.699830281755556,87,16990.0,0.10800947331207779,87,16990.0
840.0,92,1116.0,5.904761904761905,2.580626889187958,92,17373.0,0.10150847941075905,92,17373.0
845.0,89,968.0,4.964102564102564,2.55754520625016,89,17250.0,0.09439375952832361,89,17250.0
850.0,88,776.0,4.041666666666667,2.510539559862429,86,17582.0,0.09575489080797496,86,17582.0
855.0,100,937.0,4.98404255319149,2.1479628335851833,98,18009.0,0.08015221167084442,98,18009.0
860.0,110,1126.0,6.1530054644808745,1.7628486426712757,110,18523.0,0.06459601389627312,110,18523.0
865.0,105,1103.0,5.962162162162162,1.746510681280474,105,18088.0,0.06434004406521056,105,18088.0
870.0,87,963.0,5.262295081967213,2.3065462867719217,86,17521.0,0.10227718405715787,86,17521.0
875.0,92,1058.0,5.627659574468085,2.5188854517879817,90,17566.0,0.10191722380627335,90,17566.0
880.0,93,1169.0,6.12041884816754,2.290218015369464,93,18016.0,0.08943666903179624,93,18016.0
885.0,95,1044.0,5.4375,2.192378616852324,95,17897.0,0.09084971577929779,95,17897.0
890.0,95,884.0,4.604166666666667,2.190137335758429,93,18258.0,0.07164296999643294,93,18258.0
895.0,102,1011.0,5.321052631578947,2.0829854374196306,100,18693.0,0.06943183029851689,100,18693.0
900.0,109,1207.0,6.595628415300546,1.7640095865631538,109,19214.0,0.060532124682693006,109,19214.0
905.0,95,1147.0,6.166666666666667,1.9512699537978029,95,18722.0,0.0745495166095158,95,18722.0
910.0,82,944.0,5.158469945355192,2.618976498651698,81,17634.0,0.10736891509829853,81,17634.0
915.0,86,1017.0,5.467741935483871,2.865673625405171,84,17251.0,0.1057359644172391,84,17251.0
