step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,tl_1_stopped,tl_1_accumulated_waiting_time,tl_1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
310.0,89,1850.0,11.419753086419753,2.9833336883093904,87,6434.0,0.13515518988083874,87,6434.0
315.0,96,2229.0,13.50909090909091,2.40612060142062,96,6782.0,0.09637929683832915,96,6782.0
320.0,99,2235.0,13.303571428571429,2.2943697948034987,99,6855.0,0.0861070519212204,99,6855.0
325.0,97,1941.0,11.09142857142857,2.756561295290396,97,6505.0,0.08761941401576445,97,6505.0
330.0,93,1820.0,10.4,2.98194570029272,92,6454.0,0.10067714783455979,92,6454.0
335.0,91,1691.0,9.607954545454545,3.296826164827534,89,6766.0,0.12582105594667087,89,6766.0
340.0,89,1543.0,8.620111731843576,3.392596901005634,87,7117.0,0.13535943596131436,87,7117.0
345.0,87,1472.0,8.363636363636363,3.3822668132407547,85,7382.0,0.14769259110856287,85,7382.0
350.0,88,1464.0,8.46242774566474,3.2002484433277902,86,7684.0,0.13364892621655314,86,7684.0
355.0,83,1536.0,9.088757396449704,3.2417998945701836,81,7986.0,0.13795260854059893,81,7986.0
360.0,77,1656.0,9.798816568047338,3.8069209523101044,75,8259.0,0.16105399455696842,75,8259.0
365.0,75,1807.0,10.629411764705882,3.885095821457697,75,8600.0,0.17977053014827685,75,8600.0
370.0,73,1535.0,9.08284023668639,3.7617139885581583,73,8552.0,0.1843479047501606,73,8552.0
375.0,80,1394.0,8.104651162790697,3.3933866635850176,78,8729.0,0.16241889347114957,78,8729.0
380.0,92,1810.0,10.523255813953488,2.910022136280276,90,8909.0,0.13275474138064244,90,8909.0
385.0,105,2242.0,13.11111111111111,2.352230484478498,105,9363.0,0.10586426206667017,105,9363.0
390.0,114,2330.0,13.163841807909604,2.193900531340303,114,9412.0,0.08715024757064062,114,9412.0
395.0,96,2060.0,11.573033707865168,2.364880030321296,96,8949.0,0.08319834938258217,96,8949.0
400.0,95,1951.0,10.545945945945945,2.7185685993679862,93,9188.0,0.0919011195387916,93,9188.0
