step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,ststem_total_time_loss,system_mean_time_loss,system_total_depart_delay,system_mean_depart_delay,tl_stopped,tl_accumulated_waiting_time,tl_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
120.0,55,2631.0,39.26865671641791,1.4931113187927847,3472.6957860006187,51.831280388068926,81.498,1.2163880597014927,30,1814.0,0.05686184577688087,30,1814.0
125.0,55,2891.0,41.89855072463768,1.674806788432589,3746.405832031792,54.29573669611294,72.52900000000001,1.051144927536232,32,1971.0,0.04565851711542312,32,1971.0
130.0,60,3175.0,45.357142857142854,1.1316555587378256,3841.70430281545,54.881490040220726,69.099,0.9871285714285717,34,2137.0,0.04074283604912766,34,2137.0
135.0,56,3119.0,43.929577464788736,1.5629999715831198,3950.2701531426405,55.63760779074141,60.91799999999999,0.8579999999999999,29,1951.0,0.054654762506359825,29,1951.0
140.0,57,3400.0,47.22222222222222,1.7399513597623748,4232.942237545097,58.790864410348576,64.7,0.8986111111111111,30,2097.0,0.05817189288539782,30,2097.0
145.0,61,3702.0,52.140845070422536,1.4892080363248075,4376.079767013896,61.634926295970374,64.672,0.9108732394366197,31,2251.0,0.036041072907017975,31,2251.0
150.0,64,4014.0,59.029411764705884,0.41283037165782366,4466.825898519766,65.68861615470244,61.19299999999999,0.8998970588235293,34,2413.0,8.425740350671098e-05,34,2413.0
155.0,57,4067.0,58.94202898550725,0.9562742062300894,4776.33027638858,69.22217791867506,69.165,1.002391304347826,25,2390.0,0.0541686581086259,25,2390.0
160.0,54,4265.0,58.42465753424658,1.7660785291136412,5094.167378114633,69.7831147686936,79.619,1.0906712328767125,21,2428.0,0.08276985219958398,21,2428.0
165.0,52,4510.0,57.08860759493671,2.8227663997872696,5407.9587350495785,68.45517386138708,88.406,1.1190632911392406,20,2475.0,0.18996030024983665,20,2475.0
170.0,56,4781.0,62.9078947368421,2.3708727113073507,5555.408265217147,73.09747717390985,83.70400000000001,1.1013684210526318,21,2554.0,0.1418158736171562,21,2554.0
175.0,61,5071.0,69.46575342465754,1.0065321151415123,5692.315187309721,77.97692037410579,81.956,1.1226849315068494,25,2669.0,0.07219962559869575,25,2669.0
180.0,63,5382.0,74.75,0.9028508317701193,5947.496286457559,82.60411508968832,81.52999999999999,1.1323611111111112,28,2805.0,0.05129115871579539,28,2805.0
185.0,61,5645.0,73.31168831168831,1.51083263134759,6287.939342344264,81.66154990057485,78.21,1.0157142857142856,27,2921.0,0.06928610080448533,27,2921.0
190.0,61,5919.0,76.87012987012987,1.7157398020108954,6605.7499484556565,85.78896036955396,78.124,1.0145974025974025,24,2997.0,0.05589488268458312,24,2997.0
